Date,Open,High,Low,Close,Volume,Symbol,
2019-01-02,37.70859909057617,37.93066910553558,36.827489514084306,36.98508711908281,148158800,AAPL,
2019-01-03,33.952552795410156,34.7954564304333,33.9071834458614,34.379972730056394,365248800,AAPL,
2019-01-04,35.4019660949707,35.471215205013685,34.33699596056769,34.5113065295231,234428400,AAPL,
2019-01-07,35.32315444946289,35.53806125654515,34.83842542922638,35.507018312029935,219111200,AAPL,
2019-01-08,35.99652862548828,36.25202812317135,35.46404368325892,35.71237634060284,164101200,AAPL,
2019-01-09,36.607810974121094,36.89912644465085,35.7290915272066,36.1254684279678,180396400,AAPL,
2019-01-10,36.72480392456055,36.765396572793136,36.02278174604317,36.414385483534446,143122800,AAPL,
2019-01-11,36.364253997802734,36.700938833098775,36.17800358754081,36.505138707955666,108092800,AAPL,
2019-01-14,35.81743240356445,36.12068768477184,35.63118204654893,36.020399311266374,129756800,AAPL,
2019-01-15,36.550498962402344,36.62690759306695,35.82937360965292,35.88190613728261,114843600,AAPL,
2019-01-16,36.997032165527344,37.221488729438484,36.533792643164155,36.55289571706498,122278800,AAPL,
2019-01-17,37.216705322265625,37.64651529848861,36.59586828510597,36.8203248084412,119284800,AAPL,
2019-01-18,37.4459342956543,37.69904357431026,37.24535390037461,37.60830491081558,135004000,AAPL,
2019-01-22,36.60541915893555,37.42444275391004,36.443044892915836,37.348034120841504,121576000,AAPL,
2019-01-23,36.75347137451172,37.0447868661658,36.22337293189781,36.80839043304165,92522400,AAPL,
2019-01-24,36.462158203125,36.887191591397375,36.23292859599822,36.79884305985256,101766000,AAPL,
2019-01-25,37.67039108276367,37.75874323827236,36.84898092175312,37.12596633203503,134142000,AAPL,
2019-01-28,37.321773529052734,37.328936725631145,36.69138672538345,37.19999190014286,104768400,AAPL,
2019-01-29,36.9349365234375,37.758740427662374,36.798832167655455,37.30982741823408,166348800,AAPL,
2019-01-30,39.45886993408203,39.67377306329743,38.26017888624196,38.981304186014476,244439200,AAPL,
